transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,day_of_week,quarter,week_of_year,is_weekend,is_month_start,is_month_end,season
T5930,U011,2024-04-21,expense,savings,8111.0,unknown,DEL,Grocery shopping,2024,4,21,6,2,16,1,0,0,Spring
T1627,U069,2022-04-18,expense,utilities,5554.0,bank_transfer,HYDERABAD,EMI payment,2022,4,18,0,2,16,0,0,0,Spring
T12437,U004,2024-01-12,expense,others,3110.0,bank_transfer,chennai,Doctor consultation,2024,1,12,4,1,2,0,0,0,Winter
T8670,U030,2024-07-25,expense,others,4277.0,card,PUNE,Train ticket,2024,7,25,3,3,30,0,0,0,Summer
T11341,U127,2024-01-17,expense,food,3047.0,card,Mumbai,Grocery shopping,2024,1,17,2,1,3,0,0,0,Winter
T9556,U008,2024-06-27,income,income,10183.0,unknown,DELHI,,2024,6,27,3,2,26,0,0,0,Summer
T2449,U028,2022-04-16,expense,travel,9888.0,bank_transfer,DEL,Shopping,2022,4,16,5,2,15,1,0,0,Spring
T4357,U088,2024-07-03,expense,others,7217.0,cash,DELHI,Internet bill,2024,7,3,2,3,27,0,0,0,Summer
T0815,U141,2021-10-05,expense,education,9725.0,bank_transfer,CHE,Restaurant dinner,2021,10,5,1,4,40,0,0,0,Fall
T7919,U086,2023-05-27,expense,entertainment,9648.0,bank_transfer,kolkata,!!!,2023,5,27,5,2,21,1,0,0,Spring
T5695,U061,2023-10-22,expense,others,1643.0,card,Mumbai,Petrol,2023,10,22,6,4,42,1,0,0,Fall
T5875,U081,2021-10-31,expense,food,864.0,bank_transfer,Mumbai,Shopping,2021,10,31,6,4,43,1,0,1,Fall
T10128,U104,2024-09-06,expense,others,6228.0,cash,hyderabad,,2024,9,6,4,3,36,0,0,0,Fall
T3491,U061,2024-04-10,expense,others,1206.0,cash,Ahmedabad,Shopping,2024,4,10,2,2,15,0,0,0,Spring
T2225,U028,2023-07-06,expense,education,8204.0,card,,!!!,2023,7,6,3,3,27,0,0,0,Summer
T6946,U068,2024-06-23,expense,others,5756.0,upi,HYDERABAD,xyz123,2024,6,23,6,2,25,1,0,0,Summer
T2022,U056,2021-12-20,expense,food,5576.0,bank_transfer,DEL,Medicine,2021,12,20,0,4,51,0,0,0,Winter
T13529,U123,2021-11-05,expense,health,9771.0,bank_transfer,Pune,Petrol,2021,11,5,4,4,44,0,0,0,Fall
T12210,U118,2022-01-25,expense,others,20509.0,bank_transfer,bangalore,Train ticket,2022,1,25,1,1,4,0,0,0,Winter
T0713,U055,2023-08-22,expense,others,3367.0,bank_transfer,Ahmedabad,Monthly rent payment,2023,8,22,1,3,34,0,0,0,Summer
T7323,U009,2024-05-13,expense,health,2721.0,upi,BANGALORE,EMI payment,2024,5,13,0,2,20,0,0,0,Spring
T10231,U089,2023-02-13,expense,rent,2962.0,upi,ahmedabad,Books,2023,2,13,0,1,7,0,0,0,Winter
T11570,U052,2022-09-23,expense,travel,8283.0,card,AHMEDABAD,...,2022,9,23,4,3,38,0,0,0,Fall
T13926,U134,2024-09-16,expense,utilities,3520.0,cash,MUMBAI,test,2024,9,16,0,3,38,0,0,0,Fall
T0884,U115,2024-04-07,expense,travel,5524.0,bank_transfer,Hyderabad,Fixed deposit,2024,4,7,6,2,14,1,0,0,Spring
T8492,U101,2024-11-14,expense,entertainment,1800.0,bank_transfer,ahmedabad,Internet bill,2024,11,14,3,4,46,0,0,0,Fall
T3041,U018,2021-07-11,expense,others,2966.0,cash,bangalore,EMI payment,2021,7,11,6,3,27,1,0,0,Summer
T7693,U116,2024-08-31,expense,others,1004.0,bank_transfer,KOLKATA,,2024,8,31,5,3,35,1,0,1,Summer
T0071,U078,2024-04-26,expense,others,6141.0,cash,Pune,,2024,4,26,4,2,17,0,0,0,Spring
T12197,U026,2022-04-18,expense,travel,9154.0,card,DELHI,...,2022,4,18,0,2,16,0,0,0,Spring
T8563,U080,2024-12-29,expense,travel,9705.0,cash,,misc,2024,12,29,6,4,52,1,0,0,Winter
T6626,U049,2022-08-14,expense,food,2637.0,cash,jaipur,Fixed deposit,2022,8,14,6,3,32,1,0,0,Summer
T7302,U102,2024-09-19,expense,food,1073.0,card,lucknow,,2024,9,19,3,3,38,0,0,0,Fall
T1620,U040,2024-08-30,expense,utilities,527.0,cash,MUM,,2024,8,30,4,3,35,0,0,0,Summer
T7912,U115,2022-06-15,expense,others,5195.0,upi,LUC,Grocery shopping,2022,6,15,2,2,24,0,0,0,Summer
T3571,U064,2024-10-05,expense,others,3143.0,upi,CHENNAI,Books,2024,10,5,5,4,40,1,0,0,Fall
T10957,U081,2023-08-06,expense,travel,2135.0,cash,Lucknow,Medicine,2023,8,6,6,3,31,1,0,0,Summer
T0294,U080,2024-12-25,expense,others,2163.0,upi,mumbai,Doctor consultation,2024,12,25,2,4,52,0,0,0,Winter
T10537,U079,2023-01-08,expense,food,2778.0,upi,Ahmedabad,...,2023,1,8,6,1,1,1,0,0,Winter
T1125,U105,2024-11-22,expense,health,3929.0,card,,Shopping,2024,11,22,4,4,47,0,0,0,Fall
T8978,U103,2024-10-05,income,income,23852.0,card,LUC,Coffee,2024,10,5,5,4,40,1,0,0,Fall
T5936,U022,2021-06-13,expense,others,6856.0,unknown,Chennai,Shopping,2021,6,13,6,2,23,1,0,0,Summer
T0626,U122,2024-08-19,expense,education,3150.0,bank_transfer,CHE,Coffee,2024,8,19,0,3,34,0,0,0,Summer
T9500,U090,2022-06-07,expense,others,9408.0,cash,hyderabad,Electricity bill,2022,6,7,1,2,23,0,0,0,Summer
T1537,U056,2022-06-25,expense,others,4114.0,upi,Delhi,Fixed deposit,2022,6,25,5,2,25,1,0,0,Summer
T9185,U117,2022-12-12,expense,others,14249.0,bank_transfer,LUCKNOW,,2022,12,12,0,4,50,0,0,0,Winter
T7093,U096,2023-03-29,expense,travel,9681.0,upi,delhi,Online course,2023,3,29,2,1,13,0,0,0,Spring
T1990,U121,2022-03-29,expense,travel,3011.0,card,Kolkata,Grocery shopping,2022,3,29,1,1,13,0,0,0,Spring
T4706,U150,2024-06-13,expense,health,3150.0,upi,Jaipur,,2024,6,13,3,2,24,0,0,0,Summer
T11932,U100,2023-02-10,expense,others,6704.0,upi,MUM,Doctor consultation,2023,2,10,4,1,6,0,0,0,Winter
T4683,U062,2022-08-27,expense,travel,4427.0,card,Chennai,Gym membership,2022,8,27,5,3,34,1,0,0,Summer
T10528,U071,2021-11-27,expense,entertainment,3121.0,bank_transfer,PUNE,Grocery shopping,2021,11,27,5,4,47,1,0,0,Fall
T10806,U149,2024-05-19,expense,food,3802.0,upi,Jaipur,Petrol,2024,5,19,6,2,20,1,0,0,Spring
T10505,U099,2021-03-06,expense,education,544.0,upi,Ahmedabad,Lunch,2021,3,6,5,1,9,1,0,0,Spring
T13682,U145,2023-03-09,expense,travel,9053.0,unknown,LUCKNOW,...,2023,3,9,3,1,10,0,0,0,Spring
T6557,U007,2023-01-28,expense,travel,8305.0,upi,pune,test,2023,1,28,5,1,4,1,0,0,Winter
T0409,U137,2021-02-08,expense,others,8841.0,unknown,mumbai,,2021,2,8,0,1,6,0,0,0,Winter
T12395,U062,2021-04-10,expense,utilities,4451.0,bank_transfer,MUMBAI,...,2021,4,10,5,2,14,1,0,0,Spring
T1882,U101,2022-09-25,expense,education,9358.0,card,mumbai,,2022,9,25,6,3,38,1,0,0,Fall
T13924,U035,2021-08-24,expense,rent,3569.0,cash,jaipur,Online course,2021,8,24,1,3,34,0,0,0,Summer
T13453,U110,2024-11-05,expense,others,2979.0,cash,HYD,Medicine,2024,11,5,1,4,45,0,0,0,Fall
T5758,U049,2023-04-08,expense,others,21771.0,upi,chennai,,2023,4,8,5,2,14,1,0,0,Spring
T8889,U131,2021-07-01,expense,savings,8861.0,bank_transfer,PUNE,...,2021,7,1,3,3,26,0,1,0,Summer
T10327,U136,2022-05-25,expense,health,4201.0,bank_transfer,KOL,Online course,2022,5,25,2,2,21,0,0,0,Spring
T5167,U014,2021-10-26,expense,food,677.0,bank_transfer,MUMBAI,Medicine,2021,10,26,1,4,43,0,0,0,Fall
T5844,U086,2021-04-24,expense,food,2615.0,card,Lucknow,ATM withdrawal,2021,4,24,5,2,16,1,0,0,Spring
T13040,U009,2024-04-06,expense,food,2855.0,upi,BAN,misc,2024,4,6,5,2,14,1,0,0,Spring
T8867,U105,2022-11-14,expense,others,6348.0,card,mumbai,Medicine,2022,11,14,0,4,46,0,0,0,Fall
T5926,U016,2024-07-13,expense,rent,4583.0,bank_transfer,,Lunch,2024,7,13,5,3,28,1,0,0,Summer
T13662,U129,2021-10-18,expense,others,4952.0,cash,HYDERABAD,ATM withdrawal,2021,10,18,0,4,42,0,0,0,Fall
T13593,U018,2024-11-03,expense,others,3941.0,bank_transfer,MUMBAI,Lunch,2024,11,3,6,4,44,1,0,0,Fall
T8335,U001,2021-06-19,expense,others,1998.0,upi,Lucknow,Internet bill,2021,6,19,5,2,24,1,0,0,Summer
T4933,U018,2021-03-17,expense,food,8124.0,unknown,PUNE,Coffee,2021,3,17,2,1,11,0,0,0,Spring
T7036,U105,2021-12-01,expense,travel,1326.0,card,,asdfgh,2021,12,1,2,4,48,0,1,0,Winter
T9072,U066,2024-09-26,expense,savings,4328.0,upi,MUMBAI,Medicine,2024,9,26,3,3,39,0,0,0,Fall
T8270,U081,2023-04-04,expense,others,276.0,bank_transfer,Pune,Restaurant dinner,2023,4,4,1,2,14,0,0,0,Spring
T12265,U094,2022-04-02,expense,others,4215.0,card,hyderabad,ATM withdrawal,2022,4,2,5,2,13,1,0,0,Spring
T4637,U005,2023-11-04,expense,others,6316.0,upi,PUN,ATM withdrawal,2023,11,4,5,4,44,1,0,0,Fall
T9022,U089,2024-03-10,expense,others,21376.0,upi,CHE,test,2024,3,10,6,1,10,1,0,0,Spring
T7016,U145,2021-01-09,expense,others,7391.0,cash,hyderabad,Uber ride,2021,1,9,5,1,1,1,0,0,Winter
T12109,U144,2023-05-31,expense,travel,2990.0,upi,MUM,Train ticket,2023,5,31,2,2,22,0,0,1,Spring
T9952,U045,2022-12-24,expense,others,2230.0,unknown,delhi,ATM withdrawal,2022,12,24,5,4,51,1,0,0,Winter
T13401,U064,2021-09-17,expense,food,6197.0,upi,,xyz123,2021,9,17,4,3,37,0,0,0,Fall
T11100,U142,2021-05-06,expense,food,6502.0,card,jaipur,Shopping,2021,5,6,3,2,18,0,0,0,Spring
T4072,U067,2021-11-07,expense,others,6902.0,card,DELHI,Petrol,2021,11,7,6,4,44,1,0,0,Fall
T9115,U060,2022-04-21,expense,entertainment,9939.0,bank_transfer,pune,,2022,4,21,3,2,16,0,0,0,Spring
T2668,U126,2022-12-30,expense,rent,1518.0,bank_transfer,LUC,Electricity bill,2022,12,30,4,4,52,0,0,0,Winter
T1256,U035,2021-03-06,expense,others,2985.0,cash,Delhi,Restaurant dinner,2021,3,6,5,1,9,1,0,0,Spring
T7219,U002,2024-06-28,expense,others,3150.0,bank_transfer,ahmedabad,,2024,6,28,4,2,26,0,0,0,Summer
T7845,U014,2024-12-27,expense,utilities,6671.0,upi,ahmedabad,Doctor consultation,2024,12,27,4,4,52,0,0,0,Winter
T4986,U124,2023-07-04,expense,others,1409.0,upi,chennai,xyz123,2023,7,4,1,3,27,0,0,0,Summer
T1883,U047,2024-07-20,expense,others,2497.0,bank_transfer,KOL,!!!,2024,7,20,5,3,29,1,0,0,Summer
T7034,U108,2021-03-24,expense,others,6324.0,card,Chennai,Gym membership,2021,3,24,2,1,12,0,0,0,Spring
T0231,U031,2023-02-08,expense,others,7080.0,bank_transfer,kolkata,test,2023,2,8,2,1,6,0,0,0,Winter
T2017,U090,2022-01-14,expense,others,7821.0,cash,PUN,test,2022,1,14,4,1,2,0,0,0,Winter
T9479,U114,2021-08-14,expense,rent,988.0,upi,,Restaurant dinner,2021,8,14,5,3,32,1,0,0,Summer
T1312,U070,2022-12-15,income,income,23504.0,bank_transfer,HYDERABAD,Electricity bill,2022,12,15,3,4,50,0,0,0,Winter
T0010,U017,2024-04-19,expense,others,1064.0,cash,AHM,Books,2024,4,19,4,2,16,0,0,0,Spring
T11433,U083,2021-10-12,expense,food,2683.0,cash,DELHI,xyz123,2021,10,12,1,4,41,0,0,0,Fall
T4446,U017,2023-11-30,expense,food,5022.0,cash,Hyderabad,Internet bill,2023,11,30,3,4,48,0,0,1,Fall
T2782,U093,2021-04-01,expense,food,7849.0,unknown,Pune,Petrol,2021,4,1,3,2,13,0,1,0,Spring
T4124,U119,2024-05-03,expense,education,6304.0,upi,PUNE,Fixed deposit,2024,5,3,4,2,18,0,0,0,Spring
T3531,U134,2021-07-08,expense,food,5811.0,bank_transfer,Pune,,2021,7,8,3,3,27,0,0,0,Summer
T1066,U057,2023-02-05,expense,entertainment,7713.0,upi,pune,Monthly rent payment,2023,2,5,6,1,5,1,0,0,Winter
T12498,U012,2024-03-20,expense,others,2603.0,cash,Kolkata,Monthly rent payment,2024,3,20,2,1,12,0,0,0,Spring
T6556,U037,2023-12-22,expense,food,314.0,cash,MUM,Train ticket,2023,12,22,4,4,51,0,0,0,Winter
T4233,U089,2024-10-30,expense,education,9806.0,bank_transfer,CHENNAI,Petrol,2024,10,30,2,4,44,0,0,0,Fall
T1925,U060,2023-02-04,expense,others,3762.0,bank_transfer,HYD,,2023,2,4,5,1,5,1,0,0,Winter
T9678,U092,2021-03-15,expense,travel,9891.0,upi,,Grocery shopping,2021,3,15,0,1,11,0,0,0,Spring
T3468,U143,2024-08-09,expense,health,6869.0,card,Jaipur,asdfgh,2024,8,9,4,3,32,0,0,0,Summer
T7901,U028,2021-09-07,expense,entertainment,356.0,bank_transfer,jaipur,,2021,9,7,1,3,36,0,0,0,Fall
T9324,U093,2021-10-03,expense,others,20156.0,cash,Pune,,2021,10,3,6,4,39,1,0,0,Fall
T3401,U071,2021-07-10,expense,others,6766.0,card,BANGALORE,Gym membership,2021,7,10,5,3,27,1,0,0,Summer
T2246,U061,2021-01-04,expense,food,3765.0,bank_transfer,Chennai,Fixed deposit,2021,1,4,0,1,1,0,0,0,Winter
T7960,U028,2021-07-25,expense,entertainment,4638.0,card,,!!!,2021,7,25,6,3,29,1,0,0,Summer
T13793,U141,2021-09-23,income,income,11650.0,cash,HYD,!!!,2021,9,23,3,3,38,0,0,0,Fall
T7316,U144,2024-02-22,expense,utilities,5790.0,unknown,PUN,misc,2024,2,22,3,1,8,0,0,0,Winter
T4875,U076,2024-06-16,expense,others,12435.0,upi,Lucknow,,2024,6,16,6,2,24,1,0,0,Summer
T11898,U035,2023-04-13,expense,food,775.0,upi,,Monthly rent payment,2023,4,13,3,2,15,0,0,0,Spring
T12468,U043,2024-12-14,expense,others,5582.0,upi,AHMEDABAD,Monthly rent payment,2024,12,14,5,4,50,1,0,0,Winter
T5511,U114,2024-04-20,expense,food,5918.0,bank_transfer,Pune,,2024,4,20,5,2,16,1,0,0,Spring
T9770,U040,2021-02-21,expense,rent,23340.0,card,lucknow,Doctor consultation,2021,2,21,6,1,7,1,0,0,Winter
T10427,U077,2024-12-31,expense,others,3414.0,upi,pune,test,2024,12,31,1,4,1,0,0,1,Winter
T1377,U044,2022-03-31,expense,food,2033.0,upi,MUMBAI,EMI payment,2022,3,31,3,1,13,0,0,1,Spring
T7679,U079,2024-05-03,expense,education,2274.0,cash,HYDERABAD,Grocery shopping,2024,5,3,4,2,18,0,0,0,Spring
T8635,U039,2023-02-28,expense,travel,330.0,bank_transfer,chennai,,2023,2,28,1,1,9,0,0,1,Winter
T4874,U123,2024-12-30,expense,travel,8592.0,cash,PUN,Lunch,2024,12,30,0,4,1,0,0,0,Winter
T3143,U025,2023-05-01,expense,rent,6779.0,cash,Delhi,Monthly rent payment,2023,5,1,0,2,18,0,1,0,Spring
T13475,U033,2022-12-01,expense,investment,29235.0,bank_transfer,,xyz123,2022,12,1,3,4,48,0,1,0,Winter
T8560,U023,2023-04-02,expense,health,2143.0,card,delhi,asdfgh,2023,4,2,6,2,13,1,0,0,Spring
T8417,U089,2022-05-17,expense,food,4945.0,card,ahmedabad,test,2022,5,17,1,2,20,0,0,0,Spring
T8379,U106,2021-10-16,expense,entertainment,8152.0,upi,DELHI,Uber ride,2021,10,16,5,4,41,1,0,0,Fall
T13913,U006,2022-12-07,expense,others,7300.0,bank_transfer,pune,!!!,2022,12,7,2,4,49,0,0,0,Winter
T11359,U135,2024-06-04,expense,food,4603.0,bank_transfer,AHMEDABAD,EMI payment,2024,6,4,1,2,23,0,0,0,Summer
T5752,U112,2022-05-12,expense,rent,27792.0,bank_transfer,PUN,Doctor consultation,2022,5,12,3,2,19,0,0,0,Spring
T11316,U053,2022-10-06,expense,travel,6691.0,card,HYD,Doctor consultation,2022,10,6,3,4,40,0,0,0,Fall
T4377,U065,2022-04-05,expense,rent,5935.0,bank_transfer,HYD,Coffee,2022,4,5,1,2,14,0,0,0,Spring
T10191,U150,2024-02-26,expense,travel,9750.0,upi,mumbai,ATM withdrawal,2024,2,26,0,1,9,0,0,0,Winter
T10267,U128,2021-10-19,expense,rent,6484.0,upi,JAI,Fixed deposit,2021,10,19,1,4,42,0,0,0,Fall
T10019,U029,2024-02-18,expense,entertainment,2398.0,bank_transfer,LUC,Medicine,2024,2,18,6,1,7,1,0,0,Winter
T1053,U081,2021-08-25,expense,food,498.0,cash,delhi,Coffee,2021,8,25,2,3,34,0,0,0,Summer
T7284,U114,2023-08-30,expense,rent,28207.0,bank_transfer,,Fixed deposit,2023,8,30,2,3,35,0,0,0,Summer
T1195,U102,2023-06-08,expense,others,10749.0,cash,lucknow,Uber ride,2023,6,8,3,2,23,0,0,0,Summer
T6008,U053,2023-05-21,expense,others,2232.0,unknown,PUN,Books,2023,5,21,6,2,20,1,0,0,Spring
T11465,U149,2022-03-30,expense,savings,8161.0,card,Bangalore,Restaurant dinner,2022,3,30,2,1,13,0,0,0,Spring
T8940,U088,2024-11-05,expense,others,3825.0,cash,Bangalore,,2024,11,5,1,4,45,0,0,0,Fall
T2577,U075,2022-07-13,expense,utilities,4923.0,bank_transfer,MUMBAI,,2022,7,13,2,3,28,0,0,0,Summer
T6064,U104,2023-11-04,expense,food,1078.0,bank_transfer,DELHI,,2023,11,4,5,4,44,1,0,0,Fall
T1405,U109,2022-12-02,income,income,14180.0,cash,mumbai,Online course,2022,12,2,4,4,48,0,0,0,Winter
T0352,U149,2024-08-11,expense,utilities,8479.0,upi,Bangalore,Monthly rent payment,2024,8,11,6,3,32,1,0,0,Summer
T5467,U104,2023-11-05,expense,food,5292.0,bank_transfer,hyderabad,Gym membership,2023,11,5,6,4,44,1,0,0,Fall
T10397,U013,2022-10-20,expense,travel,3942.0,bank_transfer,Lucknow,!!!,2022,10,20,3,4,42,0,0,0,Fall
T12923,U075,2023-09-01,expense,entertainment,8943.0,card,Pune,Monthly rent payment,2023,9,1,4,3,35,0,1,0,Fall
T2497,U149,2022-11-22,expense,utilities,3159.0,card,DELHI,ATM withdrawal,2022,11,22,1,4,47,0,0,0,Fall
T12309,U024,2023-12-18,expense,rent,12484.0,card,BAN,,2023,12,18,0,4,51,0,0,0,Winter
T6608,U081,2023-06-04,expense,rent,4331.0,cash,HYDERABAD,Train ticket,2023,6,4,6,2,22,1,0,0,Summer
T4870,U014,2024-10-04,expense,others,9348.0,bank_transfer,JAIPUR,,2024,10,4,4,4,40,0,0,0,Fall
T12187,U060,2024-06-26,expense,food,8174.0,bank_transfer,Pune,,2024,6,26,2,2,26,0,0,0,Summer
T6605,U124,2023-10-17,expense,food,8640.0,cash,Jaipur,Coffee,2023,10,17,1,4,42,0,0,0,Fall
T3940,U085,2021-06-25,expense,food,9784.0,card,JAIPUR,Uber ride,2021,6,25,4,2,25,0,0,0,Summer
T12849,U049,2021-04-21,expense,food,2130.0,upi,lucknow,Restaurant dinner,2021,4,21,2,2,16,0,0,0,Spring
T6257,U036,2023-02-21,expense,food,4816.0,upi,PUN,Lunch,2023,2,21,1,1,8,0,0,0,Winter
T3936,U039,2023-10-05,expense,food,2247.0,card,chennai,Uber ride,2023,10,5,3,4,40,0,0,0,Fall
T0177,U038,2022-06-13,expense,others,6610.0,cash,PUNE,Restaurant dinner,2022,6,13,0,2,24,0,0,0,Summer
T3986,U077,2024-12-20,expense,travel,4692.0,upi,jaipur,Fixed deposit,2024,12,20,4,4,51,0,0,0,Winter
T3810,U004,2021-03-02,expense,others,5305.0,bank_transfer,CHE,Restaurant dinner,2021,3,2,1,1,9,0,0,0,Spring
T8163,U016,2021-03-29,expense,others,7845.0,cash,DEL,asdfgh,2021,3,29,0,1,13,0,0,0,Spring
T7044,U049,2022-05-18,expense,entertainment,7183.0,cash,,Shopping,2022,5,18,2,2,20,0,0,0,Spring
T3840,U144,2022-08-23,expense,utilities,6908.0,card,BAN,,2022,8,23,1,3,34,0,0,0,Summer
T3961,U111,2024-07-15,expense,health,5749.0,cash,pune,Internet bill,2024,7,15,0,3,29,0,0,0,Summer
T13582,U133,2021-10-26,expense,others,5542.0,card,Kolkata,Petrol,2021,10,26,1,4,43,0,0,0,Fall
T11104,U121,2022-09-14,expense,travel,3429.0,card,MUM,Lunch,2022,9,14,2,3,37,0,0,0,Fall
T8714,U065,2021-06-23,expense,others,237.0,bank_transfer,JAIPUR,Petrol,2021,6,23,2,2,25,0,0,0,Summer
T2709,U138,2022-08-18,expense,savings,8231.0,upi,CHENNAI,Lunch,2022,8,18,3,3,33,0,0,0,Summer
T2156,U018,2022-05-11,expense,others,9859.0,upi,kolkata,EMI payment,2022,5,11,2,2,19,0,0,0,Spring
T8551,U065,2024-03-20,expense,utilities,2288.0,upi,Kolkata,,2024,3,20,2,1,12,0,0,0,Spring
T10622,U030,2022-01-26,expense,travel,5756.0,bank_transfer,HYD,ATM withdrawal,2022,1,26,2,1,4,0,0,0,Winter
T9673,U145,2021-10-31,expense,others,28183.0,upi,Delhi,...,2021,10,31,6,4,43,1,0,1,Fall
T11141,U098,2024-10-07,expense,rent,7335.0,bank_transfer,CHENNAI,!!!,2024,10,7,0,4,41,0,0,0,Fall
T4430,U147,2024-10-04,expense,rent,287.0,card,HYDERABAD,Restaurant dinner,2024,10,4,4,4,40,0,0,0,Fall
T10574,U061,2021-10-28,expense,education,9601.0,unknown,kolkata,Uber ride,2021,10,28,3,4,43,0,0,0,Fall
T9406,U131,2021-12-08,expense,entertainment,2186.0,card,Bangalore,Online course,2021,12,8,2,4,49,0,0,0,Winter
T2288,U143,2021-06-14,expense,others,8093.0,card,lucknow,asdfgh,2021,6,14,0,2,24,0,0,0,Summer
T1733,U080,2023-05-03,expense,travel,2272.0,bank_transfer,HYD,Gym membership,2023,5,3,2,2,18,0,0,0,Spring
