transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4949,U101,2023-01-03,Expense,Food,3865.0,Bank Transfer,JAI,No notes
T3563,U007,2021-05-05,Expense,Travel,2407.0,Card,CHE,Internet bill
T10891,U055,2024-09-08,Expense,Food,3085.0,Card,JAIPUR,Electricity bill
T10872,U080,2023-02-22,Expense,Health,5252.0,Unknown,Delhi,Online course
T1215,U150,2023-12-29,Expense,Others,4823.0,Cash,Ahmedabad,...
T5293,U044,2021-02-23,Expense,Health,8497.0,Unknown,KOLKATA,Gym membership
T12220,U122,2023-11-14,Expense,Food,999999.0,UPI,LUC,No notes
T2003,U149,2021-04-15,Expense,Travel,8241.0,UPI,Unknown,Movie tickets
T9452,U062,2023-09-24,Expense,Rent,8579.0,Bank Transfer,AHMEDABAD,...
T4924,U082,2022-05-25,Expense,Food,235.0,Card,CHENNAI,ATM withdrawal
T11911,U069,2023-06-22,Expense,Food,1263.0,UPI,lucknow,No notes
T11270,U022,2023-08-09,Expense,Health,2134.0,Bank Transfer,JAI,Books
T13032,U150,2021-06-19,Expense,Education,2228.0,Cash,DELHI,Movie tickets
T0361,U055,2023-08-16,Expense,Utilities,1081.0,Card,PUNE,No notes
T7314,U103,2022-02-26,Expense,Entertainment,371.0,Cash,MUM,Uber ride
T11430,U108,2021-07-10,Expense,Food,225.0,Card,Pune,!!!
T12663,U052,2023-04-15,Expense,Rent,23776.0,UPI,Bangalore,Doctor consultation
T6106,U008,2023-04-23,Expense,Health,6707.0,Card,DELHI,No notes
T1623,U017,2021-04-10,Expense,Utilities,601.0,Bank Transfer,JAIPUR,Medicine
T13765,U034,2024-09-05,Expense,Others,3219.0,Cash,hyderabad,Internet bill
T5930,U011,2024-04-21,Expense,Savings,8111.0,Unknown,DEL,Grocery shopping
T12437,U004,2024-01-12,Expense,Education,3110.0,Bank Transfer,chennai,Doctor consultation
T8670,U030,2024-07-25,Expense,Food,4277.0,Card,PUNE,Train ticket
T11341,U127,2024-01-17,Expense,Food,3047.0,Card,Mumbai,Grocery shopping
T9556,U008,2024-06-27,Income,Freelance,10183.0,Unknown,DELHI,No notes
T2449,U028,2022-04-16,Expense,Travel,9888.0,Bank Transfer,DEL,Shopping
T4357,U088,2024-07-03,Expense,Rent,7217.0,Cash,DELHI,Internet bill
T0815,U141,2021-10-05,Expense,Education,9725.0,Bank Transfer,CHE,Restaurant dinner
T7919,U086,2023-05-27,Expense,Entertainment,9648.0,Bank Transfer,kolkata,!!!
T5695,U061,2023-10-22,Expense,Travel,1643.0,Card,Mumbai,Petrol
T3475,U046,2022-12-10,Income,Freelance,70075.0,UPI,Kolkata,Gym membership
T10128,U104,2024-09-06,Expense,Others,6228.0,Cash,hyderabad,No notes
T3491,U061,2024-04-10,Expense,Education,1206.0,Cash,Ahmedabad,Shopping
T2225,U028,2023-07-06,Expense,Education,8204.0,Card,Unknown,!!!
T13529,U123,2021-11-05,Expense,Health,9771.0,Bank Transfer,Pune,Petrol
T12210,U118,2022-01-25,Expense,Rent,20509.0,Bank Transfer,bangalore,Train ticket
T6904,U063,2024-09-13,Income,Bonus,62193.0,UPI,CHE,Electricity bill
T0713,U055,2023-08-22,Expense,Utilities,3367.0,Bank Transfer,Ahmedabad,Monthly rent payment
T7323,U009,2024-05-13,Expense,Health,2721.0,UPI,BANGALORE,EMI payment
T10231,U089,2023-02-13,Expense,Rent,2962.0,UPI,ahmedabad,Books
T11570,U052,2022-09-23,Expense,Travel,8283.0,Card,AHMEDABAD,...
T13926,U134,2024-09-16,Expense,Utilities,3520.0,Cash,MUMBAI,test
T0884,U115,2024-04-07,Expense,Travel,5524.0,Bank Transfer,Hyderabad,Fixed deposit
T8492,U101,2024-11-14,Expense,Entertainment,1800.0,Bank Transfer,ahmedabad,Internet bill
T1841,U097,2021-03-10,Income,Others,57173.0,Cash,Unknown,No notes
T3041,U018,2021-07-11,Expense,Rent,2966.0,Cash,bangalore,EMI payment
T7693,U116,2024-08-31,Expense,Entertainment,1004.0,Bank Transfer,KOLKATA,No notes
T12197,U026,2022-04-18,Expense,Travel,9154.0,Card,DELHI,...
T6626,U049,2022-08-14,Expense,Food,2637.0,Cash,jaipur,Fixed deposit
T7302,U102,2024-09-19,Expense,Food,1073.0,Card,lucknow,No notes
T3552,U095,2024-01-21,Income,Bonus,34145.0,Bank Transfer,HYDERABAD,!!!
T1620,U040,2024-08-30,Expense,Utilities,527.0,Cash,MUM,No notes
T7912,U115,2022-06-15,Expense,Savings,5195.0,UPI,LUC,Grocery shopping
T3571,U064,2024-10-05,Expense,Entertainment,3143.0,UPI,CHENNAI,Books
T10957,U081,2023-08-06,Expense,Travel,2135.0,Cash,Lucknow,Medicine
T0294,U080,2024-12-25,Expense,Food,2163.0,UPI,mumbai,Doctor consultation
T9414,U149,2024-06-09,Expense,Rent,42078.0,UPI,Kolkata,No notes
T10537,U079,2023-01-08,Expense,Food,2778.0,UPI,Ahmedabad,...
T1125,U105,2024-11-22,Expense,Health,3929.0,Card,Unknown,Shopping
T8978,U103,2024-10-05,Income,Freelance,23852.0,Card,LUC,Coffee
T3751,U103,2024-05-31,Income,Bonus,49639.0,Unknown,hyderabad,Online course
T0626,U122,2024-08-19,Expense,Education,3150.0,Bank Transfer,CHE,Coffee
T9500,U090,2022-06-07,Expense,Health,9408.0,Cash,hyderabad,Electricity bill
T1537,U056,2022-06-25,Expense,Entertainment,4114.0,UPI,Delhi,Fixed deposit
T7093,U096,2023-03-29,Expense,Travel,9681.0,UPI,delhi,Online course
T1990,U121,2022-03-29,Expense,Travel,3011.0,Card,Kolkata,Grocery shopping
T4706,U150,2024-06-13,Expense,Health,3150.0,UPI,Jaipur,No notes
T8416,U133,2023-05-05,Income,Bonus,32789.0,Cash,bangalore,Lunch
T11932,U100,2023-02-10,Expense,Utilities,6704.0,UPI,MUM,Doctor consultation
T10528,U071,2021-11-27,Expense,Entertainment,3121.0,Bank Transfer,PUNE,Grocery shopping
T10806,U149,2024-05-19,Expense,Food,3802.0,UPI,Jaipur,Petrol
T10505,U099,2021-03-06,Expense,Education,544.0,UPI,Ahmedabad,Lunch
T13682,U145,2023-03-09,Expense,Travel,9053.0,Unknown,LUCKNOW,...
T12807,U029,2021-06-05,Income,Freelance,32381.0,Bank Transfer,chennai,...
T0409,U137,2021-02-08,Expense,Utilities,8841.0,Unknown,mumbai,No notes
T10784,U022,2021-04-30,Income,Investment,46219.0,Card,Lucknow,No notes
T12395,U062,2021-04-10,Expense,Utilities,4451.0,Bank Transfer,MUMBAI,...
T1882,U101,2022-09-25,Expense,Education,9358.0,Card,mumbai,No notes
T13924,U035,2021-08-24,Expense,Rent,3569.0,Cash,jaipur,Online course
T13453,U110,2024-11-05,Expense,Rent,2979.0,Cash,HYD,Medicine
T13845,U066,2022-06-24,Expense,Rent,34984.0,UPI,chennai,Petrol
T11381,U107,2024-05-12,Income,Investment,44031.0,Bank Transfer,HYD,Online course
T8889,U131,2021-07-01,Expense,Savings,8861.0,Bank Transfer,PUNE,...
T4967,U113,2022-02-17,Expense,Rent,47473.0,Bank Transfer,hyderabad,Online course
T11849,U040,2021-12-06,Income,Investment,75822.0,Cash,Mumbai,Medicine
T5167,U014,2021-10-26,Expense,Food,677.0,Bank Transfer,MUMBAI,Medicine
T3952,U120,2024-08-26,Expense,Rent,43252.0,Cash,delhi,test
T3167,U145,2021-11-28,Income,Bonus,57358.0,Cash,Delhi,!!!
T8867,U105,2022-11-14,Expense,Others,6348.0,Card,mumbai,Medicine
T5926,U016,2024-07-13,Expense,Rent,4583.0,Bank Transfer,Unknown,Lunch
T13662,U129,2021-10-18,Expense,Others,4952.0,Cash,HYDERABAD,ATM withdrawal
T13593,U018,2024-11-03,Expense,Others,3941.0,Bank Transfer,MUMBAI,Lunch
T12216,U116,2023-04-21,Income,Others,47262.0,Bank Transfer,KOL,No notes
T8335,U001,2021-06-19,Expense,Entertainment,1998.0,UPI,Lucknow,Internet bill
T7036,U105,2021-12-01,Expense,Travel,1326.0,Card,Unknown,asdfgh
T8270,U081,2023-04-04,Expense,Food,276.0,Bank Transfer,Pune,Restaurant dinner
T9022,U089,2024-03-10,Expense,Rent,21376.0,UPI,CHE,test
T7016,U145,2021-01-09,Expense,Utilities,7391.0,Cash,hyderabad,Uber ride
T12109,U144,2023-05-31,Expense,Travel,2990.0,UPI,MUM,Train ticket
T9952,U045,2022-12-24,Expense,Utilities,2230.0,Unknown,delhi,ATM withdrawal
T13401,U064,2021-09-17,Expense,Food,6197.0,UPI,Unknown,xyz123
T11100,U142,2021-05-06,Expense,Food,6502.0,Card,jaipur,Shopping
T4072,U067,2021-11-07,Expense,Others,6902.0,Card,DELHI,Petrol
T9115,U060,2022-04-21,Expense,Entertainment,9939.0,Bank Transfer,pune,No notes
T2668,U126,2022-12-30,Expense,Rent,1518.0,Bank Transfer,LUC,Electricity bill
T1256,U035,2021-03-06,Expense,Travel,2985.0,Cash,Delhi,Restaurant dinner
T7219,U002,2024-06-28,Expense,Education,3150.0,Bank Transfer,ahmedabad,No notes
T7845,U014,2024-12-27,Expense,Utilities,6671.0,UPI,ahmedabad,Doctor consultation
T4986,U124,2023-07-04,Expense,Travel,1409.0,UPI,chennai,xyz123
T1883,U047,2024-07-20,Expense,Education,2497.0,Bank Transfer,KOL,!!!
T7034,U108,2021-03-24,Expense,Utilities,6324.0,Card,Chennai,Gym membership
T0231,U031,2023-02-08,Expense,Utilities,7080.0,Bank Transfer,kolkata,test
T2017,U090,2022-01-14,Expense,Utilities,7821.0,Cash,PUN,test
T1312,U070,2022-12-15,Income,Freelance,23504.0,Bank Transfer,HYDERABAD,Electricity bill
T0010,U017,2024-04-19,Expense,Others,1064.0,Cash,AHM,Books
T11433,U083,2021-10-12,Expense,Food,2683.0,Cash,DELHI,xyz123
T4446,U017,2023-11-30,Expense,Food,5022.0,Cash,Hyderabad,Internet bill
T11291,U040,2024-06-10,Income,Bonus,33565.0,Cash,HYDERABAD,Gym membership
T6224,U092,2024-11-04,Income,Salary,66678.0,Bank Transfer,Chennai,EMI payment
T4124,U119,2024-05-03,Expense,Education,6304.0,UPI,PUNE,Fixed deposit
T10115,U091,2022-02-23,Income,Freelance,50009.0,Bank Transfer,PUNE,No notes
T3531,U134,2021-07-08,Expense,Food,5811.0,Bank Transfer,Pune,No notes
T9037,U142,2022-12-19,Income,Salary,70693.0,Cash,AHMEDABAD,No notes
T12498,U012,2024-03-20,Expense,Health,2603.0,Cash,Kolkata,Monthly rent payment
T6556,U037,2023-12-22,Expense,Food,314.0,Cash,MUM,Train ticket
T4233,U089,2024-10-30,Expense,Education,9806.0,Bank Transfer,CHENNAI,Petrol
T1925,U060,2023-02-04,Expense,Food,3762.0,Bank Transfer,HYD,No notes
T9678,U092,2021-03-15,Expense,Travel,9891.0,UPI,Unknown,Grocery shopping
T3468,U143,2024-08-09,Expense,Health,6869.0,Card,Jaipur,asdfgh
T7901,U028,2021-09-07,Expense,Entertainment,356.0,Bank Transfer,jaipur,No notes
T9324,U093,2021-10-03,Income,Others,20156.0,Cash,Pune,No notes
T3401,U071,2021-07-10,Expense,Others,6766.0,Card,BANGALORE,Gym membership
T2246,U061,2021-01-04,Expense,Food,3765.0,Bank Transfer,Chennai,Fixed deposit
T7960,U028,2021-07-25,Expense,Entertainment,4638.0,Card,Unknown,!!!
T13793,U141,2021-09-23,Income,Freelance,11650.0,Cash,HYD,!!!
T7316,U144,2024-02-22,Expense,Utilities,5790.0,Unknown,PUN,misc
T4875,U076,2024-06-16,Expense,Rent,12435.0,UPI,Lucknow,No notes
T1216,U042,2022-01-31,Income,Investment,31183.0,Bank Transfer,Jaipur,Shopping
T11898,U035,2023-04-13,Expense,Food,775.0,UPI,Unknown,Monthly rent payment
T5511,U114,2024-04-20,Expense,Food,5918.0,Bank Transfer,Pune,No notes
T5607,U093,2024-02-05,Income,Investment,73830.0,UPI,PUNE,xyz123
T9770,U040,2021-02-21,Expense,Rent,23340.0,Card,lucknow,Doctor consultation
T11278,U009,2022-07-19,Expense,Rent,40813.0,UPI,delhi,Books
T1377,U044,2022-03-31,Expense,Food,2033.0,UPI,MUMBAI,EMI payment
T2469,U038,2023-11-30,Income,Bonus,44932.0,Bank Transfer,KOL,Lunch
T6621,U104,2022-08-14,Expense,Food,999999.0,Cash,Jaipur,xyz123
T8635,U039,2023-02-28,Expense,Travel,330.0,Bank Transfer,chennai,No notes
T4874,U123,2024-12-30,Expense,Travel,8592.0,Cash,PUN,Lunch
T13475,U033,2022-12-01,Income,Investment,29235.0,Bank Transfer,Unknown,xyz123
T8560,U023,2023-04-02,Expense,Health,2143.0,Card,delhi,asdfgh
T8417,U089,2022-05-17,Expense,Food,4945.0,Card,ahmedabad,test
T8379,U106,2021-10-16,Expense,Entertainment,8152.0,UPI,DELHI,Uber ride
T13913,U006,2022-12-07,Expense,Others,7300.0,Bank Transfer,pune,!!!
T11359,U135,2024-06-04,Expense,Food,4603.0,Bank Transfer,AHMEDABAD,EMI payment
T5752,U112,2022-05-12,Expense,Rent,27792.0,Bank Transfer,PUN,Doctor consultation
T11316,U053,2022-10-06,Expense,Travel,6691.0,Card,HYD,Doctor consultation
T4377,U065,2022-04-05,Expense,Rent,5935.0,Bank Transfer,HYD,Coffee
T10267,U128,2021-10-19,Expense,Rent,6484.0,UPI,JAI,Fixed deposit
T10019,U029,2024-02-18,Expense,Entertainment,2398.0,Bank Transfer,LUC,Medicine
T7284,U114,2023-08-30,Expense,Rent,28207.0,Bank Transfer,Unknown,Fixed deposit
T1195,U102,2023-06-08,Expense,Rent,10749.0,Cash,lucknow,Uber ride
T6008,U053,2023-05-21,Expense,Food,2232.0,Unknown,PUN,Books
T11465,U149,2022-03-30,Expense,Savings,8161.0,Card,Bangalore,Restaurant dinner
T8940,U088,2024-11-05,Expense,Others,3825.0,Cash,Bangalore,No notes
T2577,U075,2022-07-13,Expense,Utilities,4923.0,Bank Transfer,MUMBAI,No notes
T1405,U109,2022-12-02,Income,Freelance,14180.0,Cash,mumbai,Online course
T0352,U149,2024-08-11,Expense,Utilities,8479.0,UPI,Bangalore,Monthly rent payment
T5467,U104,2023-11-05,Expense,Food,5292.0,Bank Transfer,hyderabad,Gym membership
T10397,U013,2022-10-20,Expense,Travel,3942.0,Bank Transfer,Lucknow,!!!
T12923,U075,2023-09-01,Expense,Entertainment,8943.0,Card,Pune,Monthly rent payment
T2497,U149,2022-11-22,Expense,Utilities,3159.0,Card,DELHI,ATM withdrawal
T12309,U024,2023-12-18,Expense,Rent,12484.0,Card,BAN,No notes
T6608,U081,2023-06-04,Expense,Rent,4331.0,Cash,HYDERABAD,Train ticket
T4870,U014,2024-10-04,Expense,Rent,9348.0,Bank Transfer,JAIPUR,No notes
T12187,U060,2024-06-26,Expense,Food,8174.0,Bank Transfer,Pune,No notes
T13685,U047,2021-08-03,Income,Investment,74243.0,Cash,JAIPUR,Shopping
T6605,U124,2023-10-17,Expense,Food,8640.0,Cash,Jaipur,Coffee
T3940,U085,2021-06-25,Expense,Food,9784.0,Card,JAIPUR,Uber ride
T12289,U001,2021-12-26,Expense,Rent,45093.0,Card,PUN,Electricity bill
T12849,U049,2021-04-21,Expense,Food,2130.0,UPI,lucknow,Restaurant dinner
T6257,U036,2023-02-21,Expense,Food,4816.0,UPI,PUN,Lunch
T3936,U039,2023-10-05,Expense,Food,2247.0,Card,chennai,Uber ride
T10279,U087,2021-03-13,Income,Freelance,46587.0,Card,LUCKNOW,asdfgh
T0177,U038,2022-06-13,Expense,Others,6610.0,Cash,PUNE,Restaurant dinner
T3810,U004,2021-03-02,Expense,Education,5305.0,Bank Transfer,CHE,Restaurant dinner
T7155,U060,2022-08-14,Income,Bonus,67675.0,Bank Transfer,BANGALORE,No notes
T8163,U016,2021-03-29,Expense,Entertainment,7845.0,Cash,DEL,asdfgh
T7044,U049,2022-05-18,Expense,Entertainment,7183.0,Cash,Unknown,Shopping
T3840,U144,2022-08-23,Expense,Utilities,6908.0,Card,BAN,No notes
T3774,U020,2023-09-08,Expense,Rent,47146.0,Card,Delhi,No notes
T3961,U111,2024-07-15,Expense,Health,5749.0,Cash,pune,Internet bill
T13582,U133,2021-10-26,Expense,Entertainment,5542.0,Card,Kolkata,Petrol
T11104,U121,2022-09-14,Expense,Travel,3429.0,Card,MUM,Lunch
T8714,U065,2021-06-23,Expense,Entertainment,237.0,Bank Transfer,JAIPUR,Petrol
T2709,U138,2022-08-18,Expense,Savings,8231.0,UPI,CHENNAI,Lunch
T8551,U065,2024-03-20,Expense,Utilities,2288.0,UPI,Kolkata,No notes
T10622,U030,2022-01-26,Expense,Travel,5756.0,Bank Transfer,HYD,ATM withdrawal
T8967,U125,2023-03-16,Income,Others,41720.0,Bank Transfer,pune,Doctor consultation
T11141,U098,2024-10-07,Expense,Rent,7335.0,Bank Transfer,CHENNAI,!!!
T4430,U147,2024-10-04,Expense,Rent,287.0,Card,HYDERABAD,Restaurant dinner
T11810,U060,2021-12-30,Income,Others,57828.0,UPI,ahmedabad,Shopping
T9406,U131,2021-12-08,Expense,Entertainment,2186.0,Card,Bangalore,Online course
T2288,U143,2021-06-14,Expense,Entertainment,8093.0,Card,lucknow,asdfgh
T1733,U080,2023-05-03,Expense,Travel,2272.0,Bank Transfer,HYD,Gym membership
T13220,U140,2024-02-05,Expense,Food,4549.0,Cash,CHENNAI,ATM withdrawal
T9379,U106,2021-11-26,Expense,Rent,21603.0,Cash,JAIPUR,Petrol
T0617,U046,2021-01-22,Expense,Food,1641.0,Cash,kolkata,No notes
T13759,U109,2021-12-27,Expense,Education,7941.0,UPI,CHENNAI,test
T4332,U089,2023-11-21,Expense,Food,4265.0,UPI,hyderabad,No notes
T12052,U046,2023-09-09,Expense,Savings,8634.0,Bank Transfer,LUC,Gym membership
T4585,U003,2024-05-21,Expense,Entertainment,1006.0,UPI,hyderabad,Medicine
T0859,U132,2024-10-27,Expense,Travel,475.0,Bank Transfer,DEL,No notes
T7760,U089,2024-05-11,Expense,Rent,46614.0,Bank Transfer,LUC,...
T7501,U047,2021-01-12,Expense,Food,4005.0,Cash,kolkata,Monthly rent payment
T4248,U058,2022-03-21,Income,Salary,78532.0,Bank Transfer,kolkata,misc
T5305,U046,2023-01-16,Income,Bonus,178518.0,Bank Transfer,pune,Shopping
T6784,U022,2021-01-12,Expense,Food,8687.0,Unknown,BANGALORE,Coffee
T1468,U139,2022-12-07,Income,Freelance,57170.0,UPI,DEL,Movie tickets
T5253,U075,2021-08-07,Expense,Food,7235.0,Card,BAN,test
T6241,U037,2022-07-04,Expense,Travel,9675.0,Cash,MUM,Restaurant dinner
T4458,U075,2022-04-21,Expense,Food,4895.0,UPI,AHM,Fixed deposit
T4529,U064,2024-01-31,Income,Bonus,21355.0,Bank Transfer,JAI,EMI payment
T6988,U044,2023-10-07,Expense,Rent,2824.0,UPI,AHM,Doctor consultation
T1182,U023,2024-09-20,Expense,Health,8548.0,Unknown,BAN,ATM withdrawal
T4182,U117,2023-03-03,Expense,Food,700.0,Bank Transfer,PUN,Gym membership
T8123,U020,2023-05-15,Expense,Rent,5988.0,Bank Transfer,MUM,Movie tickets
T7895,U117,2024-08-23,Expense,Utilities,6348.0,Card,Chennai,!!!
T8735,U113,2021-05-15,Expense,Rent,5549.0,UPI,Unknown,Fixed deposit
T10792,U053,2022-07-15,Expense,Rent,44898.0,Cash,Chennai,Coffee
T8838,U010,2023-07-16,Expense,Rent,3221.0,UPI,DEL,ATM withdrawal
T7931,U085,2021-08-12,Expense,Travel,1037.0,Cash,BANGALORE,Electricity bill
T13820,U148,2023-10-16,Expense,Utilities,6278.0,Bank Transfer,HYD,No notes
T9531,U149,2021-06-15,Expense,Utilities,999.0,Cash,CHENNAI,Fixed deposit
T1003,U064,2022-11-08,Income,Investment,43737.0,UPI,LUCKNOW,Internet bill
T5549,U114,2021-01-30,Expense,Rent,45894.0,Bank Transfer,MUM,Petrol
T9591,U034,2022-08-22,Expense,Entertainment,5011.0,UPI,Unknown,Uber ride
T5042,U008,2023-07-13,Expense,Travel,2082.0,Cash,DEL,Grocery shopping
T6831,U145,2022-05-23,Income,Freelance,43378.0,UPI,Unknown,No notes
T0131,U108,2023-01-07,Expense,Entertainment,4167.0,Cash,pune,No notes
T3349,U130,2022-08-02,Expense,Utilities,6260.0,Card,Mumbai,Electricity bill
T5111,U051,2023-09-02,Expense,Rent,747.0,Card,chennai,!!!
T2986,U127,2021-03-31,Expense,Travel,3645.0,Unknown,lucknow,Internet bill
T3113,U079,2023-03-17,Expense,Health,5958.0,Bank Transfer,mumbai,misc
T5430,U061,2022-12-08,Income,Investment,49098.0,Cash,chennai,xyz123
T13440,U062,2022-06-19,Expense,Travel,3833.0,Card,HYDERABAD,EMI payment
T1572,U097,2024-06-02,Expense,Education,2715.0,Card,ahmedabad,asdfgh
T3628,U116,2024-12-07,Expense,Rent,12316.0,Cash,JAI,Medicine
T7622,U124,2024-03-20,Expense,Entertainment,2561.0,Bank Transfer,Unknown,misc
T5287,U129,2024-04-11,Expense,Entertainment,6832.0,Cash,JAI,Fixed deposit
T11583,U036,2024-10-20,Income,Bonus,73654.0,Card,Mumbai,asdfgh
T5046,U123,2023-12-20,Expense,Rent,5622.0,Bank Transfer,jaipur,ATM withdrawal
T9393,U030,2022-07-31,Expense,Travel,7748.0,Card,BANGALORE,xyz123
T1258,U106,2022-11-14,Expense,Rent,4981.0,Unknown,Jaipur,...
T0928,U102,2022-05-13,Expense,Food,301.0,Card,HYDERABAD,Grocery shopping
T6037,U009,2024-10-05,Expense,Food,3830.0,Card,Unknown,Gym membership
T12742,U139,2021-10-18,Expense,Travel,2985.0,UPI,KOLKATA,Gym membership
T7198,U069,2021-01-27,Income,Others,79870.0,UPI,PUN,Movie tickets
T2353,U082,2023-02-12,Expense,Food,4426.0,Bank Transfer,Unknown,Fixed deposit
T7335,U024,2024-07-26,Expense,Entertainment,3640.0,UPI,DELHI,EMI payment
T10710,U006,2023-08-01,Expense,Travel,7174.0,UPI,chennai,Uber ride
T5592,U028,2023-03-24,Expense,Health,1606.0,UPI,Lucknow,Fixed deposit
T2671,U058,2021-12-31,Expense,Rent,9434.0,UPI,lucknow,No notes
T6020,U092,2022-08-03,Expense,Food,3280.0,Bank Transfer,jaipur,xyz123
T9004,U011,2022-11-23,Expense,Education,886.0,Cash,Ahmedabad,Train ticket
T7005,U026,2022-11-20,Expense,Rent,7109.0,Bank Transfer,DELHI,asdfgh
T12998,U146,2022-12-08,Expense,Entertainment,4201.0,Cash,Jaipur,Electricity bill
T3988,U129,2024-02-23,Expense,Food,655.0,Bank Transfer,HYD,ATM withdrawal
T5319,U037,2023-03-10,Income,Others,61598.0,Cash,chennai,Medicine
T3862,U042,2022-10-16,Income,Investment,44066.0,Cash,KOLKATA,Grocery shopping
T5165,U126,2024-12-12,Income,Others,224611.0,UPI,DEL,Movie tickets
T4714,U112,2024-05-30,Expense,Rent,46284.0,UPI,Ahmedabad,No notes
T4195,U097,2024-02-01,Income,Bonus,174110.0,Card,lucknow,Gym membership
T11757,U068,2024-09-21,Expense,Food,2044.0,Bank Transfer,Pune,Online course
T10285,U040,2024-01-29,Expense,Savings,5277.0,UPI,kolkata,No notes
T8961,U043,2021-05-19,Expense,Travel,1115.0,Card,BAN,Internet bill
T0428,U006,2021-10-09,Expense,Food,2017.0,Bank Transfer,Bangalore,Medicine
T9117,U119,2021-05-28,Expense,Education,2053.0,Bank Transfer,CHE,Gym membership
T9348,U007,2022-01-29,Expense,Entertainment,8839.0,Cash,chennai,No notes
T3503,U017,2022-01-15,Expense,Entertainment,9635.0,Cash,Lucknow,Gym membership
T0481,U108,2023-07-17,Expense,Utilities,392.0,Bank Transfer,pune,Uber ride
T2248,U048,2024-12-10,Expense,Rent,26916.0,Cash,KOLKATA,Petrol
T3455,U150,2022-09-27,Expense,Food,994.0,Unknown,kolkata,test
T12178,U072,2022-02-02,Income,Salary,63125.0,Cash,chennai,misc
T4186,U002,2022-11-11,Expense,Food,175.0,Bank Transfer,CHE,xyz123
T9132,U067,2022-08-10,Income,Freelance,24394.0,UPI,DELHI,Monthly rent payment
T2400,U126,2021-10-14,Income,Investment,67910.0,Cash,delhi,Gym membership
T8437,U143,2024-07-20,Expense,Education,9531.0,UPI,Lucknow,Gym membership
T10071,U043,2021-09-26,Expense,Food,2511.0,Card,CHENNAI,Online course
T13867,U026,2023-09-11,Expense,Savings,7734.0,Cash,Unknown,Internet bill
T13196,U061,2024-06-16,Expense,Rent,1461.0,UPI,JAI,Coffee
T5099,U008,2024-10-12,Expense,Education,2398.0,Bank Transfer,chennai,Grocery shopping
T1027,U011,2024-03-21,Income,Freelance,33170.0,Card,KOLKATA,Restaurant dinner
T2238,U023,2023-09-24,Expense,Travel,7858.0,Unknown,KOL,Grocery shopping
T12671,U139,2024-10-30,Expense,Food,3913.0,Card,hyderabad,Shopping
T4155,U042,2022-12-09,Expense,Travel,5279.0,Cash,jaipur,Lunch
T11558,U012,2024-08-20,Expense,Food,2060.0,UPI,hyderabad,Fixed deposit
T11219,U135,2021-11-12,Expense,Rent,32436.0,Card,Unknown,No notes
T13688,U003,2024-12-01,Expense,Food,7717.0,Unknown,lucknow,ATM withdrawal
T13289,U072,2022-12-23,Expense,Food,3021.0,Bank Transfer,Ahmedabad,xyz123
T6767,U099,2024-08-03,Expense,Food,1574.0,Card,DELHI,ATM withdrawal
T0721,U005,2022-02-13,Expense,Rent,5599.0,Bank Transfer,Bangalore,No notes
T3212,U143,2021-02-15,Expense,Entertainment,4374.0,Bank Transfer,Hyderabad,...
T8580,U118,2024-01-10,Expense,Travel,552.0,Card,delhi,Medicine
T8316,U116,2021-05-22,Income,Investment,30473.0,Bank Transfer,DELHI,Shopping
